collection||Sahih Muslim
hadith|2798b|Rapporté par Masruq : Un homme est venu voir Abdullah et a dit : « J’ai laissé dans la mosquée un homme qui explique le Coran selon sa propre opinion et il a interprété ce verset : “Attends le jour où le ciel apportera une fumée claire.” Il dit qu’une fumée viendra sur les gens le Jour de la Résurrection, coupera leur souffle et leur donnera froid. » Abdullah a répondu : « Celui qui sait doit parler, et celui qui ne sait pas doit simplement dire : ‘Allah sait mieux.’ » Cela montre que si quelqu’un ne sait pas, il doit dire qu’Allah sait mieux. En réalité, lorsque les Quraysh ont désobéi au Messager d’Allah ﷺ, il a invoqué Allah pour qu’ils subissent la famine et la faim comme à l’époque de Yusuf. Ils ont tellement souffert qu’on voyait dans le ciel comme une fumée, et ils ont mangé des os. Un homme est venu voir le Messager d’Allah ﷺ et a dit : « Ô Messager d’Allah, demande pardon pour la tribu de Mudar, car ses gens sont perdus. » Le Messager ﷺ a répondu : « Pour Mudar ? Tu es bien audacieux ! » Mais il a tout de même invoqué Allah pour eux. C’est alors que ce verset a été révélé : « Nous lèverons un peu le châtiment, mais ils reviendront sûrement au mal. » (44:15) Il a plu sur eux. Quand ils ont eu un peu de répit, ils sont revenus à leur ancienne situation, et Allah, le Très-Haut et Glorieux, a révélé : « Attends le jour où le ciel apportera une fumée claire qui enveloppera les gens. Ce sera un châtiment douloureux le jour où Nous les saisirons avec la prise la plus violente ; Nous nous vengerons. » Cette prise fait référence à la bataille de Badr
hadith|2798c|Rapporté par Abdullah : Cinq signes sont désormais du passé (et ont prouvé la véracité du Saint Prophète) : la fumée qui a enveloppé les gens, le châtiment inévitable (des Mecquois à Badr), la victoire des Romains, la prise violente (des Mecquois à Badr) et le fractionnement de la lune
hadith|2798d|Rapporté par A'mash (par la même chaîne) : Le même hadith a été rapporté
hadith|2799|Rapporté par Ubayy b. Ka'b : Les paroles d’Allah, le Très-Haut et Glorieux : « Nous leur ferons sûrement goûter le châtiment moindre avant le châtiment plus sévère, afin qu’ils reviennent » (32:21) font référence aux tourments de ce monde : la victoire des Romains, la prise (des Mecquois) ou la fumée. Shalba avait un doute entre la prise ou la fumée
chapter||
hadith|2800a|
hadith|2800b|Rapporté par Abdullah b. Mas'ud : Nous étions avec le Messager d’Allah ﷺ à Mina, lorsque la lune s’est fendue en deux. Une partie était derrière la montagne et l’autre de ce côté de la montagne. Le Messager d’Allah ﷺ nous a dit : « Soyez témoins de cela. »
hadith|2800c|Rapporté par Abdullah b. Mas'ud : La lune a été fendue en deux du vivant du Messager d’Allah ﷺ. La montagne a caché une partie de la lune et l’autre partie était au-dessus de la montagne. Le Messager d’Allah ﷺ a dit : « Soyez témoins de cela. »
hadith|2801a|
hadith|2801b|Rapporté par Shu'ba : Ce hadith a été transmis avec une légère variation dans les mots
hadith|2802a,b|
hadith|2802c|Rapporté par Anas : La lune a été fendue en deux, et dans le hadith rapporté par Abu Dawud, il est dit : « La lune a été fendue en deux du vivant du Messager d’Allah ﷺ. »
hadith|2803|Rapporté par Ibn ‘Abbas : La lune a été fendue du vivant du Messager d’Allah ﷺ
chapter||
hadith|2804a,b|
hadith|2804c|Rapporté par Abdullah b. Qais : Le Messager d’Allah ﷺ a dit : « Personne n’est plus patient qu’Allah, le Très-Haut, pour écouter les choses les plus pénibles. Les gens Lui associent des partenaires, Lui attribuent un fils, et malgré cela, Il leur accorde leur subsistance, leur donne la sécurité et leur accorde de nombreux bienfaits. »
chapter||
hadith|2805a|
hadith|2805b|Rapporté par Anas ibn Malik : Ce hadith a été rapporté par Anas ibn Malik par une autre chaîne de transmetteurs, avec une légère variation dans les mots : « Je le ferai entrer en Enfer. » (Les paroles suivantes n’ont pas été mentionnées)
hadith|2805c|Rapporté par Anas ibn Malik : Le Messager d’Allah ﷺ a dit : « Il sera dit aux non-croyants le Jour de la Résurrection : “Si tu possédais de l’or remplissant toute la terre, voudrais-tu t’en servir pour te libérer ?” Il répondra : “Oui.” Alors il lui sera dit : “On t’a demandé quelque chose de bien plus facile que cela (mais tu n’y as pas prêté attention).” »
hadith|2805d|Rapporté par Anas : Ce hadith a été rapporté par une autre chaîne de transmetteurs et les paroles sont : « Il lui sera dit : “Tu as menti ; ce qu’on t’a demandé était bien plus facile que cela (croire en l’Unicité d’Allah).” »
chapter||
hadith|2806|Rapporté par Anas ibn Malik : Un homme a demandé : « Ô Messager d’Allah, comment les non-croyants seront-ils rassemblés le Jour de la Résurrection en rampant sur leur visage ? » Il répondit : « Celui qui a le pouvoir de les faire marcher sur leurs pieds n’est-il pas capable de les faire ramper sur leur visage le Jour de la Résurrection ? » Qatada dit : « Bien sûr, c’est ainsi. » (Il jura) : « Par la puissance de notre Seigneur. »
chapter||
hadith|2807|Rapporté par Anas ibn Malik : Le Messager d’Allah ﷺ a dit qu’une personne parmi les habitants de l’Enfer, qui avait vécu dans l’aisance et le confort ici-bas, sera plongée une seule fois dans le Feu le Jour de la Résurrection. On lui dira alors : « Ô fils d’Adam, as-tu connu le bonheur, as-tu eu des bienfaits matériels ? » Il répondra : « Par Allah, non, mon Seigneur. » Ensuite, on amènera une personne parmi les gens du Paradis qui avait eu la vie la plus difficile sur terre, et on la plongera une seule fois au Paradis. On lui dira : « Ô fils d’Adam, as-tu connu la misère ? As-tu eu des épreuves ? » Et il dira : « Par Allah, non, ô mon Seigneur, je n’ai jamais connu la misère ni la détresse. »
chapter||
hadith|2808a|
hadith|2808b|Rapporté par Anas ibn Malik : Le Messager d’Allah ﷺ lui a dit : « Quand un non-croyant fait le bien, il en goûte la récompense dans ce monde. Quant au croyant, Allah garde la récompense de ses bonnes actions pour l’Au-delà et lui accorde sa subsistance selon son obéissance envers Lui. »
hadith|2808c|Rapporté par Anas ibn Malik : Ce hadith a été rapporté par une autre chaîne de transmetteurs
chapter||
hadith|2809a|
hadith|2809b|Rapporté par Zuhri : Ce hadith a été rapporté par la même chaîne de transmetteurs, avec une légère variation dans les mots
hadith|2810a|
hadith|2810b|Rapporté par Ka'b ibn Malik, d’après son père : L’exemple du croyant est comme une plante debout. Le vent la secoue parfois, parfois la relève, puis elle atteint sa fin prévue. L’exemple de l’hypocrite est comme un cyprès qui n’est touché par rien, mais qui est déraciné d’un seul coup
hadith|2810c|Rapporté par [anonyme] : Ce hadith a été rapporté par plusieurs autres chaînes de transmetteurs, l’une disant « l’exemple du non-croyant » à la place, et une autre reprenant la formulation du hadith précédent
hadith|2810d|Rapporté par Ibn Ka'b : Ce hadith a été rapporté par une autre chaîne de transmetteurs, mais avec la phrase : « l’exemple du non-croyant est comme un cyprès. »
chapter||
hadith|2811a|
hadith|2811b|Rapporté par Ibn Umar : Le Messager d’Allah ﷺ a dit un jour à ses Compagnons : « Dites-moi quel arbre ressemble au croyant. » Les gens ont commencé à citer différents arbres de la forêt. Ibn Umar a dit : « J’ai eu l’idée dans mon esprit ou dans mon cœur que c’était le palmier-dattier. J’ai voulu le dire, mais je n’ai pas osé à cause de la présence des personnes âgées. Quand tout le monde s’est tu, le Messager d’Allah ﷺ a dit : “C’est le palmier-dattier.” »
hadith|2811c|Rapporté par Mujahid : J’ai eu le privilège d’accompagner Ibn ‘Umar jusqu’à Médine, mais je ne l’ai entendu rapporter qu’un seul hadith du Messager d’Allah ﷺ. Il a dit : « Nous étions en présence du Messager d’Allah ﷺ lorsqu’on lui a apporté le noyau d’une datte. » Le reste du hadith est le même
hadith|2811d|Rapporté par Mujahid : J’ai entendu Ibn ‘Umar dire : « On a apporté au Messager d’Allah ﷺ un noyau. » Le reste du hadith est le même
hadith|2811e|Rapporté par Ibn Umar رضي الله عنه : Nous étions en compagnie du Messager d’Allah ﷺ lorsqu’il dit : « Dites-moi quel arbre ressemble au musulman, dont les feuilles ne tombent jamais. » Ibrahim a dit que peut-être l’imam Muslim a précisé : « Il donne constamment des fruits », mais j’ai vu (qu’il ne donne pas toujours des fruits). Ibn Umar dit : « J’ai pensé que c’était le palmier-dattier, mais voyant Abu Bakr et Omar se taire, je n’ai pas osé parler. » Omar dit : « Si tu l’avais dit, cela m’aurait été plus cher que telle ou telle chose. »
chapter||
hadith|2812a|
hadith|2812b|Rapporté par A'mash : Ce hadith a été rapporté par la même chaîne de transmetteurs
hadith|2813a|
hadith|2813b|Rapporté par Jabir : Le Messager d’Allah ﷺ a dit : « Iblis place son trône sur l’eau, puis il envoie des groupes pour semer la discorde. Ceux qui sont les plus proches de lui en rang sont ceux qui sont les plus connus pour créer des divisions. L’un d’eux vient et dit : “J’ai fait ceci et cela.” Et il lui répond : “Tu n’as rien fait.” Puis l’un d’eux vient et dit : “Je n’ai pas laissé untel jusqu’à ce que je sème la discorde entre un mari et sa femme.” Alors Satan s’approche de lui et dit : “Tu as bien fait.” A'mash a dit : Il l’embrasse alors
hadith|2813c|Rapporté par Jabir : Le Messager d’Allah ﷺ a dit : « Satan envoie ses groupes pour mettre les gens à l’épreuve, et le plus haut en rang à ses yeux est celui qui est le plus connu pour semer la discorde. »
hadith|2814a|
hadith|2814b|Rapporté par Mansur : Ce hadith a été rapporté par Mansur avec la même chaîne de transmetteurs, mais avec une légère différence dans les mots
hadith|2815|Rapporté par Aïsha (l’épouse du Messager d’Allah ﷺ) رضي الله عنها : Un jour, le Messager d’Allah ﷺ est sorti de chez elle pendant la nuit et elle a ressenti de la jalousie. Puis il est revenu et a vu dans quel état elle était. Il a dit : « Aïsha, qu’est-ce qui t’arrive ? Es-tu jalouse ? » Elle a répondu : « Comment une femme comme moi ne serait-elle pas jalouse d’un mari comme toi ? » Le Messager d’Allah ﷺ a alors dit : « C’est ton diable qui est venu vers toi. » Elle a demandé : « Ô Messager d’Allah, ai-je un diable avec moi ? » Il a répondu : « Oui. » Elle a dit : « Est-ce que chacun a un diable attaché à lui ? » Il a répondu : « Oui. » (Aïsha) a encore demandé : « Ô Messager d’Allah, même toi ? » Il a dit : « Oui, mais mon Seigneur m’a aidé contre lui et je suis totalement protégé de ses ruses. »
chapter||
hadith|2816a,b|
hadith|2816c|Rapporté par Abou Hourayra رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Personne ne pourra entrer au Paradis uniquement grâce à ses actions. » On lui a demandé : « Même toi, ô Messager d’Allah ? » Il a répondu : « Même moi, sauf si mon Seigneur m’enveloppe de Sa miséricorde. »
hadith|2816d|Rapporté par Abou Hourayra رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Aucun d’entre vous ne sera sauvé uniquement grâce à ses actions. » Les Compagnons ont demandé : « Ô Messager d’Allah, même toi ? » Il a répondu : « Même moi, sauf si Allah m’enveloppe de Sa miséricorde et me pardonne. » Ibn ‘Aoun a montré sa tête de la main en disant : « Même moi, sauf si Allah m’enveloppe de Son pardon et de Sa miséricorde. »
hadith|2816e|Rapporté par Abou Hourayra رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Personne ne peut assurer son salut uniquement par ses actions. » Ils ont demandé : « Ô Messager d’Allah, même toi ? » Il a répondu : « Même moi, à moins que la miséricorde d’Allah ne me couvre. »
hadith|2816f|Rapporté par Abou Hourayra رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Aucun d’entre vous n’entrera au Paradis uniquement grâce à ses actions. » Ils ont demandé : « Ô Messager d’Allah, même toi ? » Il a répondu : « Même moi, sauf si Allah m’enveloppe de Sa grâce et de Sa miséricorde. »
hadith|2816g|Rapporté par Abou Hourayra رضي الله عنه : Le Messager d’Allah ﷺ a dit : « Soyez modérés dans vos actions (et si vous n’y arrivez pas, essayez de vous en approcher), et sachez qu’aucun d’entre vous ne sera sauvé uniquement grâce à ses actions. » Ils ont demandé : « Ô Messager d’Allah, même toi ? » Il a répondu : « Même moi, sauf si Allah m’enveloppe de Sa miséricorde et de Sa grâce. »
